park,ID,cluster_id,long,lat
WGP,1,6,144.9246325,-37.83141927
WGP,2,1,144.9193996,-37.83312937
WGP,3,1,144.9182386,-37.84396102
WGP,4,4,144.9049718,-37.8406022
WGP,5,3,144.9163633,-37.83148446
WGP,6,5,144.9135661,-37.83668568
WGP,7,6,144.924323,-37.83497208
WGP,8,3,144.9173978,-37.82592684
WGP,9,3,144.9180433,-37.82261321
WGP,10,2,144.9037024,-37.8376115
WGP,11,4,144.9022647,-37.84316645
WGP,12,4,144.9063787,-37.84281757
WGP,13,6,144.9261488,-37.82691083
WGP,14,5,144.9111578,-37.83841062
WGP,15,5,144.9090677,-37.83931103
WGP,16,3,144.9101996,-37.82554354
WGP,17,3,144.911577,-37.8304859
WGP,18,1,144.9174159,-37.83707484
WGP,19,6,144.9281421,-37.83350928
WGP,20,1,144.9204779,-37.84182038
WGP,21,4,144.9133631,-37.84538901
WGP,22,3,144.9119604,-37.82336693
WGP,23,2,144.9041788,-37.83371474
WGP,24,5,144.9085147,-37.83734898
WGP,25,5,144.9138831,-37.83867105
WGP,26,2,144.9015195,-37.83155925
WGP,27,6,144.9233531,-37.83327436
WGP,28,3,144.9120161,-37.82806943
WGP,29,2,144.9000337,-37.83480247
WGP,30,1,144.9163636,-37.83374947
WGP,31,6,144.9237645,-37.82377644
WGP,32,6,144.9252255,-37.82912155
WGP,33,4,144.9107421,-37.84179336
WGP,34,3,144.9087459,-37.82978291
WGP,35,1,144.9199668,-37.83844348
WGP,36,2,144.9043937,-37.8312128
WGP,37,3,144.9140312,-37.83041404
WGP,38,5,144.9084887,-37.83540198
WGP,39,2,144.9036143,-37.82949446
WGP,40,3,144.9131892,-37.83254505
