"distance","lon","lat","ID","pt_id"
1286.53227375693,144.94971331429,-37.7769179976994,1,1
1466.67932233457,144.942652878599,-37.7893345437487,1,2
788.596425766137,144.956977773358,-37.7777845244047,1,3
3.32108707990087,144.948362743001,-37.7816989253632,1,4
602.780428839385,144.942624279617,-37.781637037376,1,5
1336.86715778715,144.939942854895,-37.7817715119902,1,6
365.084352612752,144.942107166844,-37.7860557829389,1,7
1467.76781861322,144.951340590642,-37.7963261530059,1,8
199.174251826991,144.956820609239,-37.7844184956649,1,9
2.2193263889066,144.943627307606,-37.7895375969643,1,10
1273.46743488508,144.94008472924,-37.7836941668116,1,11
1431.15917015373,144.942791784818,-37.7895176461203,1,12
465.273600230702,144.942791784818,-37.7895176461203,1,13
849.908147791195,144.951340590642,-37.7963261530059,1,14
674.355427433989,144.951340590642,-37.7963261530059,1,15
798.330586807884,144.951960158319,-37.7771845833608,1,16
583.243152794082,144.947161523957,-37.7929983189838,1,17
1058.38909770603,144.939942854895,-37.7817715119902,1,18
1037.88854218159,144.95849240098,-37.777969272363,1,19
1266.79655504972,144.948308826599,-37.7939121111544,1,20
404.313412756977,144.942652878599,-37.7893345437487,1,21
354.728945836126,144.943737816544,-37.7816358696518,1,22
132.221968539006,144.950262027019,-37.7933826562737,1,23
33.992058778152,144.95029426026,-37.7778287960053,1,24
254.855524793722,144.947362941694,-37.7931587444775,1,25
1076.54623883192,144.94971331429,-37.7769179976994,1,26
1228.18749055901,144.949425556037,-37.7769410610031,1,27
909.113782734652,144.940050919557,-37.7817430558291,1,28
26.1979674511336,144.940159869134,-37.7837821786654,1,29
1237.3880466449,144.952378144012,-37.7772341719813,1,30
494.111036738262,144.95795951176,-37.7779042752848,1,31
47.8616249524499,144.952404048239,-37.7811153836161,1,32
624.364169313773,144.939942854895,-37.7817715119902,1,33
830.770390209993,144.94971331429,-37.7769179976994,1,34
41.0122709683528,144.941821247405,-37.7850496628333,1,35
517.177245019238,144.939942854895,-37.7817715119902,1,36
1414.14216679817,144.939942854895,-37.7817715119902,1,37
655.523883820596,144.949425556037,-37.7769410610031,1,38
1220.28620279874,144.94008472924,-37.7836941668116,1,39
313.519499593796,144.940050919557,-37.7817430558291,1,40
60.2826675075709,144.944677964708,-37.7853522378362,1,41
162.010802557475,144.951340590642,-37.7963261530059,1,42
296.78624548914,144.949425556037,-37.7769410610031,1,43
66.9179678661829,144.957082882461,-37.7824424416083,1,44
141.42466996923,144.956923318753,-37.7873675244072,1,45
102.18028480578,144.947816766342,-37.7889788981952,1,46
1426.77125245705,144.951340590642,-37.7963261530059,1,47
161.395919583336,144.955293467028,-37.7932177602204,1,48
19.1214121288965,144.95381218765,-37.7854726174073,1,49
949.53114607896,144.951340590642,-37.7963261530059,1,50
12.2170354479575,144.955761515127,-37.7776361552883,1,51
1012.573715175,144.950130031871,-37.7953623500463,1,52
818.608971285042,144.943511415791,-37.7900908948656,1,53
1235.70065737652,144.951340590642,-37.7963261530059,1,54
1309.17134588569,144.949425556037,-37.7769410610031,1,55
451.971283835043,144.951340590642,-37.7963261530059,1,56
266.901000298064,144.943756447353,-37.7902860808083,1,57
62.0568787854544,144.949149970067,-37.7852427318154,1,58
22.7528654783141,144.943251603785,-37.787361342412,1,59
111.007659825063,144.951202725759,-37.7833484712266,1,60
